Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
ensemble_model,4,16,ensemble_model,1/CPU,4,Yes,1055.1,103.6
ensemble_model,4,32,ensemble_model,1/CPU,4,Yes,1045.2,199.4
ensemble_model,4,8,ensemble_model,1/CPU,4,Yes,997.8,73.4
ensemble_model,3,32,ensemble_model,1/CPU,4,Yes,953.6,150.1
ensemble_model,4,4,ensemble_model,1/CPU,4,Yes,896.2,37.3
ensemble_model,3,16,ensemble_model,1/CPU,4,Yes,879.8,79.5
ensemble_model,3,4,ensemble_model,1/CPU,4,Yes,846.5,45.0
ensemble_model,3,8,ensemble_model,1/CPU,4,Yes,830.3,72.4
ensemble_model,2,64,ensemble_model,1/CPU,4,Yes,783.1,223.0
ensemble_model,2,32,ensemble_model,1/CPU,4,Yes,755.0,115.9
ensemble_model,4,2,ensemble_model,1/CPU,4,Yes,741.4,20.8
ensemble_model,2,8,ensemble_model,1/CPU,4,Yes,717.1,46.3
ensemble_model,2,16,ensemble_model,1/CPU,4,Yes,710.2,72.9
ensemble_model,2,4,ensemble_model,1/CPU,4,Yes,685.4,28.8
ensemble_model,1,32,ensemble_model,1/CPU,4,Yes,652.9,96.6
ensemble_model,1,64,ensemble_model,1/CPU,4,Yes,619.9,135.5
ensemble_model,1,8,ensemble_model,1/CPU,4,Yes,603.7,27.7
ensemble_model,1,16,ensemble_model,1/CPU,4,Yes,597.7,58.2
ensemble_model,3,2,ensemble_model,1/CPU,4,Yes,553.0,34.5
ensemble_model,2,2,ensemble_model,1/CPU,4,Yes,508.6,23.2
ensemble_model,1,4,ensemble_model,1/CPU,4,Yes,445.3,28.3
ensemble_model,4,1,ensemble_model,1/CPU,4,Yes,328.8,31.4
ensemble_model,1,2,ensemble_model,1/CPU,4,Yes,306.3,20.6
ensemble_model,3,1,ensemble_model,1/CPU,4,Yes,278.6,29.8
ensemble_model,2,1,ensemble_model,1/CPU,4,Yes,238.3,18.8
ensemble_model,1,1,ensemble_model,1/CPU,4,Yes,145.4,14.5
ensemble_model,4,64,ensemble_model,1/CPU,4,No,1058.5,308.3
ensemble_model,4,128,ensemble_model,1/CPU,4,No,967.4,616.1
ensemble_model,3,128,ensemble_model,1/CPU,4,No,857.8,562.4
ensemble_model,3,64,ensemble_model,1/CPU,4,No,838.7,346.9
ensemble_model,3,256,ensemble_model,1/CPU,4,No,829.6,1022.7
ensemble_model,2,128,ensemble_model,1/CPU,4,No,748.5,411.4
ensemble_model,2,256,ensemble_model,1/CPU,4,No,731.1,817.4
ensemble_model,1,256,ensemble_model,1/CPU,4,No,628.2,473.2
ensemble_model,1,128,ensemble_model,1/CPU,4,No,613.6,274.6

